epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,14.1903,1.25253,1.30828,1.11471,0.99424,1,0.995,0.71109,1.19386,1.06882,1.17522,0.0011486,0.0011486,0.0011486
45,14.484,1.01057,1.18862,1.07701,0.99258,1,0.995,0.67821,1.15473,1.018,1.18035,0.0011288,0.0011288,0.0011288
46,14.7805,1.07532,1.44241,1.12116,0.99423,1,0.995,0.6913,1.23167,1.05796,1.22474,0.001109,0.001109,0.001109
47,15.078,1.1223,1.09478,1.07877,0.99415,1,0.995,0.67367,1.23346,1.06944,1.23026,0.0010892,0.0010892,0.0010892
48,15.3605,1.08389,1.2189,1.09633,0.99415,1,0.995,0.67367,1.23346,1.06944,1.23026,0.0010694,0.0010694,0.0010694
49,15.6447,1.16563,1.19551,1.05094,0.99261,1,0.995,0.68365,1.19063,1.07538,1.24551,0.0010496,0.0010496,0.0010496
50,15.9332,1.07497,1.18226,1.1338,0.98807,1,0.995,0.69187,1.1569,1.08422,1.23059,0.0010298,0.0010298,0.0010298
51,16.2178,1.0217,1.15923,1.03691,0.99443,1,0.995,0.6735,1.16752,1.0471,1.23465,0.00101,0.00101,0.00101
52,16.5063,1.101,1.11706,1.09247,0.99676,1,0.995,0.66169,1.22408,1.03373,1.28892,0.0009902,0.0009902,0.0009902
53,16.794,1.0542,1.06166,1.04654,0.99607,1,0.995,0.64285,1.29177,1.07,1.33262,0.0009704,0.0009704,0.0009704
54,17.082,1.23509,1.26107,1.23519,0.99589,1,0.995,0.63863,1.31513,1.03394,1.3451,0.0009506,0.0009506,0.0009506
55,17.37,1.18301,1.18416,1.10442,0.99568,1,0.995,0.67216,1.21217,1.02615,1.27022,0.0009308,0.0009308,0.0009308
56,17.6543,1.10176,1.15207,1.06716,0.99568,1,0.995,0.67216,1.21217,1.02615,1.27022,0.000911,0.000911,0.000911
57,17.9395,1.13662,1.19799,1.1481,0.99464,1,0.995,0.69353,1.13331,1.02296,1.20289,0.0008912,0.0008912,0.0008912
58,18.2215,1.00943,1.08411,1.03631,0.99415,1,0.995,0.72623,1.09237,0.99706,1.17071,0.0008714,0.0008714,0.0008714
59,18.5186,0.98516,1.07557,1.09628,0.99335,1,0.995,0.70736,1.13448,1.01038,1.18857,0.0008516,0.0008516,0.0008516
60,18.8004,1.05355,1.08322,1.11329,0.99305,1,0.995,0.68013,1.24701,1.00011,1.26241,0.0008318,0.0008318,0.0008318
61,19.0859,0.92527,1.06505,1.06816,0.99397,1,0.995,0.67763,1.28446,0.97764,1.29849,0.000812,0.000812,0.000812
62,19.3729,0.97019,0.96896,1.05922,0.99407,1,0.995,0.69317,1.15472,0.95139,1.23977,0.0007922,0.0007922,0.0007922
63,19.6622,1.00853,1.17202,1.05444,0.9947,1,0.995,0.69376,1.11135,0.90146,1.21408,0.0007724,0.0007724,0.0007724
64,19.9405,0.97811,0.95275,1.03858,0.9947,1,0.995,0.69376,1.11135,0.90146,1.21408,0.0007526,0.0007526,0.0007526
65,20.2282,1.01228,0.93112,1.03327,0.99422,1,0.995,0.69377,1.11866,0.92069,1.20558,0.0007328,0.0007328,0.0007328
